ID,TARGET_NAME,MAP_NAME,IS_VALUE,SAVE_PROPERTIES,USE_PROPERTIES
2,validate:svn:checkout-project,singleCommandBuild,NULL,NULL,NULL
3,build:single-command-build,singleCommandBuild,NULL,NULL,NULL
4,build:single-command-deployment,singleCommandDeployment,NULL,.*application\.url,NULL
5,build:database-integration,databaseIntegration,NULL,NULL,NULL
6,build:remote-upgrade,remoteUpgrade,NULL,NULL,NULL
7,build:check-bdafied,bdaEnabled,true,NULL,NULL
8,build:template-properties,templateValidation,NULL,NULL,NULL
9,build:private-repository-properties,privateRepositoryProperties,NULL,NULL,NULL
10,build:ci-server,latestCIBuild,true,NULL,NULL
11,build:validate-app-servers,deploymentShakeout,NULL,NULL,.*application\.url
12,build:check-commandline-installer,commandLineInstaller,NULL,NULL,NULL
